embarcaciones_idembarcaciones,clientes_idclientes,porcentaje_posesion
1,1,100
2,185,100
3,2,100
4,3,100
5,187,100
6,188,100
7,189,100
8,1,100
9,190,100
10,4,100
11,5,100
12,136,100
13,6,100
14,7,100
15,191,100
16,192,100
17,8,100
18,9,100
19,193,100
20,10,100
21,10,100
22,11,100
23,13,100
24,15,100
25,194,100
26,195,100
27,195,100
28,196,100
29,16,100
30,194,100
31,17,100
32,18,100
33,19,100
34,20,100
35,21,100
36,22,100
37,23,100
38,24,100
39,25,100
40,194,100
41,27,100
42,28,100
43,29,100
44,30,100
45,31,100
46,33,100
47,35,100
48,36,100
49,197,100
50,37,100
51,38,100
52,198,100
53,125,100
54,194,100
55,194,100
56,139,100
57,199,100
58,39,100
59,196,100
60,40,100
61,41,100
62,202,100
63,42,100
64,43,100
65,44,100
66,203,100
67,204,100
68,45,100
69,46,100
70,47,100
71,48,100
72,49,100
73,50,100
74,51,100
75,52,100
76,205,100
77,54,100
78,54,100
79,55,100
80,56,100
81,57,100
82,58,100
83,59,100
84,61,100
85,62,100
86,63,100
87,63,100
88,63,100
89,64,100
90,65,100
91,206,100
92,66,100
93,65,100
94,67,100
95,62,100
96,68,100
97,207,100
98,208,100
99,70,100
100,71,100
101,72,100
102,73,100
103,64,100
104,74,100
105,62,100
106,209,100
107,62,100
108,210,100
109,211,100
110,41,100
111,75,100
112,212,100
113,76,100
114,77,100
115,78,100
116,79,100
117,213,100
118,80,100
119,214,100
120,76,100
121,1,100
122,81,100
123,81,100
124,215,100
125,81,100
126,81,100
127,82,100
128,83,100
129,84,100
130,85,100
131,216,100
132,86,100
133,87,100
134,217,100
135,88,100
136,88,100
137,218,100
138,89,100
139,89,100
140,90,100
141,91,100
142,91,100
143,92,100
144,93,100
145,219,100
146,97,100
147,220,100
148,98,100
149,100,100
150,101,100
151,102,100
152,82,100
153,103,100
154,194,100
155,104,100
156,221,100
157,194,100
158,105,100
159,105,100
160,107,100
161,194,100
162,194,100
163,109,100
164,239,100
165,110,100
166,111,100
167,222,100
168,111,100
169,112,100
170,223,100
171,113,100
172,224,100
173,225,100
174,114,100
175,226,100
176,115,100
177,116,100
178,227,100
179,117,100
180,118,100
181,118,100
182,118,100
183,151,100
184,119,100
185,120,100
186,121,100
187,122,100
188,122,100
189,123,100
190,228,100
191,229,100
192,229,100
193,125,100
194,230,100
195,215,100
196,125,100
197,126,100
198,127,100
199,128,100
200,129,100
201,130,100
202,131,100
203,132,100
204,151,100
205,133,100
206,134,100
207,135,100
208,136,100
210,192,100
211,139,100
212,140,100
213,141,100
214,142,100
215,143,100
216,143,100
217,204,100
218,145,100
219,146,100
220,147,100
221,148,100
222,232,100
223,149,100
224,150,100
225,151,100
226,151,100
227,152,100
228,233,100
229,234,100
230,153,100
231,154,100
232,155,100
233,235,100
234,217,100
235,157,100
236,158,100
237,159,100
238,160,100
239,236,100
240,161,100
241,237,100
242,162,100
243,238,100
244,238,100
245,163,100
246,239,100
247,164,100
248,165,100
249,166,100
250,167,100
251,168,100
252,169,100
253,170,100
254,171,100
255,172,100
256,173,100
257,151,100
258,175,100
259,176,100
260,177,100
261,178,100
262,179,100
263,103,100
264,181,100
265,182,100
266,183,100
267,184,100
268,240,100
269,126,100
